HAGRID,Kingdom,Phylum,Class,Order,Family,Genus,Species,Common name,Adult_weight_g,Adult_weight_g,Mass_kg,Max_longevity_yr,Max_longevity_yr,log10M,log10T,Specimen origin,Data quality,Source,Mass_source,Longevity_source,Backfill_note
00220,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Accipiter,striatus,Sharp-shinned hawk,135,135.0,0.135,19.9,19.9,-0.8696662315049939,1.2988530764097066,wild,acceptable,427,AnAge (Adult weight (g)),AnAge (Maximum longevity (yrs)),
00221,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Aegypius,monachus,Cinereous vulture,9625,9625.0,9.625,39,39.0,0.9834007381805383,1.591064607026499,captivity,acceptable,1,AnAge (Adult weight (g)),AnAge (Maximum longevity (yrs)),
00222,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Aquila,adalberti,Spanish imperial eagle,3000,3000.0,3.0,44.5,44.5,0.47712125471966244,1.6483600109809315,captivity,acceptable,575,AnAge (Adult weight (g)),AnAge (Maximum longevity (yrs)),
00223,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Aquila,audax,Wedge-tailed eagle,3466,3466.0,3.466,40,40.0,0.5398285583778982,1.6020599913279625,captivity,acceptable,1,AnAge (Adult weight (g)),AnAge (Maximum longevity (yrs)),
00224,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Aquila,chrysaetos,Golden eagle,4800,4800.0,4.8,48,48.0,0.6812412373755872,1.6812412373755872,captivity,acceptable,437,AnAge (Adult weight (g)),AnAge (Maximum longevity (yrs)),
00225,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Aquila,fasciata,Bonelli's eagle,2000,2000.0,2.0,20,20.0,0.3010299956639812,1.3010299956639813,captivity,acceptable,1,AnAge (Adult weight (g)),AnAge (Maximum longevity (yrs)),
00226,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Aquila,heliaca,Eastern imperical eagle,3262,3262.0,3.262,56,56.0,0.513483956704257,1.7481880270062005,captivity,acceptable,1,AnAge (Adult weight (g)),AnAge (Maximum longevity (yrs)),
00227,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Aquila,nipalensis,Steppe eagle,2745.5,2745.5,2.7455,41,41.0,0.4386214480453956,1.6127838567197355,captivity,acceptable,1,AnAge (Adult weight (g)),AnAge (Maximum longevity (yrs)),
00228,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Aquila,pomarina,Lesser spotted eagle,1370,1370.0,1.37,26.1,26.1,0.1367205671564068,1.416640507338281,wild,acceptable,1,AnAge (Adult weight (g)),AnAge (Maximum longevity (yrs)),
00229,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Aquila,rapax,Tawny eagle,1996.1,1996.1,1.9961,40.3,40.3,0.3001822946469007,1.6053050461411094,captivity,acceptable,575,AnAge (Adult weight (g)),AnAge (Maximum longevity (yrs)),
00230,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Butastur,indicus,Grey-faced buzzard,415,415.0,0.415,8.5,8.5,-0.3819519032879073,0.9294189257142927,wild,acceptable,1,AnAge (Adult weight (g)),AnAge (Maximum longevity (yrs)),
00231,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Buteo,buteo,Buzzard,1012,1012.0,1.012,28.8,28.8,0.005180512503780314,1.4593924877592308,wild,acceptable,450,AnAge (Adult weight (g)),AnAge (Maximum longevity (yrs)),
