HAGRID,Kingdom,Phylum,Class,Order,Family,Genus,Species,Common name,Adult_weight_g,Adult_weight_g,Mass_kg,Max_longevity_yr,Max_longevity_yr,log10M,log10T,Specimen origin,Data quality,Source,Mass_source,Longevity_source,Backfill_note
00934,Animalia,Chordata,Aves,Passeriformes,Hirundinidae,Progne,subis,Purple martin,45,45.0,0.045,13.8,13.8,-1.3467874862246563,1.1398790864012365,wild,acceptable,579,AnAge (Adult weight (g)),AnAge (Maximum longevity (yrs)),
00935,Animalia,Chordata,Aves,Passeriformes,Hirundinidae,Riparia,riparia,Bank swallow,12.7,12.7,0.0127,10.1,10.1,-1.8961962790440432,1.0043213737826426,wild,acceptable,0450,AnAge (Adult weight (g)),AnAge (Maximum longevity (yrs)),
00936,Animalia,Chordata,Aves,Passeriformes,Hirundinidae,Stelgidopteryx,ruficollis,Southern rough-winged swallow,16,16.0,0.016,5.9,5.9,-1.7958800173440752,0.7708520116421442,wild,acceptable,579,AnAge (Adult weight (g)),AnAge (Maximum longevity (yrs)),
00937,Animalia,Chordata,Aves,Passeriformes,Hirundinidae,Stelgidopteryx,serripennis,Northern rough-winged swallow,15.7,15.7,0.0157,5.9,5.9,-1.8041003475907664,0.7708520116421442,wild,acceptable,0427,AnAge (Adult weight (g)),AnAge (Maximum longevity (yrs)),
00938,Animalia,Chordata,Aves,Passeriformes,Hirundinidae,Tachycineta,bicolor,Tree swallow,19,19.0,0.019,12.1,12.1,-1.7212463990471711,1.08278537031645,wild,acceptable,427,AnAge (Adult weight (g)),AnAge (Maximum longevity (yrs)),
00939,Animalia,Chordata,Aves,Passeriformes,Hirundinidae,Tachycineta,thalassina,Violet-green swallow,14.2,14.2,0.014199999999999999,9.1,9.1,-1.8477116556169435,0.9590413923210935,wild,acceptable,427,AnAge (Adult weight (g)),AnAge (Maximum longevity (yrs)),
00940,Animalia,Chordata,Aves,Passeriformes,Icteridae,Agelaius,phoeniceus,Red-winged blackbird,56.7,56.7,0.0567,20,20.0,-1.2464169411070933,1.3010299956639813,unknown,acceptable,,AnAge (Adult weight (g)),AnAge (Maximum longevity (yrs)),
00941,Animalia,Chordata,Aves,Passeriformes,Icteridae,Agelaius,tricolor,Tricolored blackbird,56.5,56.5,0.0565,13.2,13.2,-1.2479515521805615,1.1205739312058498,wild,acceptable,427,AnAge (Adult weight (g)),AnAge (Maximum longevity (yrs)),
00942,Animalia,Chordata,Aves,Passeriformes,Icteridae,Agelaius,xanthomus,Yellow-shouldered blackbird,38.4,38.4,0.0384,12.6,12.6,-1.4156687756324693,1.100370545117563,wild,acceptable,0427,AnAge (Adult weight (g)),AnAge (Maximum longevity (yrs)),
00943,Animalia,Chordata,Aves,Passeriformes,Icteridae,Dolichonyx,oryzivorus,Bobolink,35,35.0,0.035,9,9.0,-1.4559319556497243,0.9542425094393249,wild,acceptable,1,AnAge (Adult weight (g)),AnAge (Maximum longevity (yrs)),
00944,Animalia,Chordata,Aves,Passeriformes,Icteridae,Euphagus,carolinus,Rusty blackbird,60.8,60.8,0.0608,8.8,8.8,-1.216096420727265,0.9444826721501687,wild,acceptable,1,AnAge (Adult weight (g)),AnAge (Maximum longevity (yrs)),
00945,Animalia,Chordata,Aves,Passeriformes,Icteridae,Euphagus,cyanocephalus,Brewer's blackbird,64.55,64.55,0.06455,12.5,12.5,-1.190103753397561,1.0969100130080565,wild,acceptable,580,AnAge (Adult weight (g)),AnAge (Maximum longevity (yrs)),
00946,Animalia,Chordata,Aves,Passeriformes,Icteridae,Icterus,bullockii,Bullock's oriole,36.62,36.62,0.03662,8.9,8.9,-1.4362816600343224,0.9493900066449128,wild,acceptable,427,AnAge (Adult weight (g)),AnAge (Maximum longevity (yrs)),
00947,Animalia,Chordata,Aves,Passeriformes,Icteridae,Icterus,cucullatus,Hooded oriole,24.3,24.3,0.024300000000000002,6,6.0,-1.6143937264016879,0.7781512503836436,wild,acceptable,580,AnAge (Adult weight (g)),AnAge (Maximum longevity (yrs)),
00948,Animalia,Chordata,Aves,Passeriformes,Icteridae,Icterus,galbula,Baltimore oriole,32.9,32.9,0.0329,14,14.0,-1.4828041020500258,1.146128035678238,unknown,acceptable,,AnAge (Adult weight (g)),AnAge (Maximum longevity (yrs)),
00949,Animalia,Chordata,Aves,Passeriformes,Icteridae,Icterus,leucopteryx,Jamaican oriole,36.9,36.9,0.036899999999999995,12.2,12.2,-1.4329736338409398,1.0863598306747482,wild,acceptable,0427,AnAge (Adult weight (g)),AnAge (Maximum longevity (yrs)),
00950,Animalia,Chordata,Aves,Passeriformes,Icteridae,Icterus,parisorum,Scott's oriole,36.2,36.2,0.0362,6.4,6.4,-1.4412914294668342,0.8061799739838872,wild,acceptable,580,AnAge (Adult weight (g)),AnAge (Maximum longevity (yrs)),
00951,Animalia,Chordata,Aves,Passeriformes,Icteridae,Icterus,pectoralis,Spot-breasted oriole,46.5,46.5,0.0465,11.6,11.6,-1.332547047110046,1.0644579892269186,wild,acceptable,580,AnAge (Adult weight (g)),AnAge (Maximum longevity (yrs)),
00952,Animalia,Chordata,Aves,Passeriformes,Icteridae,Icterus,spurius,Orchard oriole,21,21.0,0.021,17.7,17.7,-1.6777807052660807,1.2479732663618066,captivity,acceptable,"Julie Zickefoose, pers. comm.",AnAge (Adult weight (g)),AnAge (Maximum longevity (yrs)),
00954,Animalia,Chordata,Aves,Passeriformes,Icteridae,Molothrus,ater,Brown-headed cowbird,38.1,38.1,0.0381,16.9,16.9,-1.4190750243243806,1.2278867046136734,wild,acceptable,577,AnAge (Adult weight (g)),AnAge (Maximum longevity (yrs)),
00957,Animalia,Chordata,Aves,Passeriformes,Icteridae,Quiscalus,quiscula,Common grackle,111,111.0,0.111,23.1,23.1,-0.9546770212133425,1.3636119798921444,wild,acceptable,427,AnAge (Adult weight (g)),AnAge (Maximum longevity (yrs)),
00958,Animalia,Chordata,Aves,Passeriformes,Icteridae,Sturnella,magna,Eastern meadowlark,94.71,94.71,0.09470999999999999,12.6,12.6,-1.0236041633881203,1.100370545117563,wild,acceptable,427,AnAge (Adult weight (g)),AnAge (Maximum longevity (yrs)),
00959,Animalia,Chordata,Aves,Passeriformes,Icteridae,Sturnella,neglecta,Western meadowlark,85,85.0,0.085,10,10.0,-1.0705810742857071,1.0,captivity,acceptable,1,AnAge (Adult weight (g)),AnAge (Maximum longevity (yrs)),
00960,Animalia,Chordata,Aves,Passeriformes,Icteridae,Xanthocephalus,xanthocephalus,Yellow-headed blackbird,75.75,75.75,0.07575,18,18.0,-1.1206173628256573,1.255272505103306,unknown,acceptable,,AnAge (Adult weight (g)),AnAge (Maximum longevity (yrs)),
00961,Animalia,Chordata,Aves,Passeriformes,Laniidae,Lanius,collurio,Red-backed shrike,28.4,28.4,0.028399999999999998,10.1,10.1,-1.5466816599529623,1.0043213737826426,wild,acceptable,450,AnAge (Adult weight (g)),AnAge (Maximum longevity (yrs)),
00962,Animalia,Chordata,Aves,Passeriformes,Laniidae,Lanius,excubitor,Northern shrike,63.5,63.5,0.0635,12,12.0,-1.1972262747080245,1.0791812460476249,unknown,acceptable,,AnAge (Adult weight (g)),AnAge (Maximum longevity (yrs)),
00963,Animalia,Chordata,Aves,Passeriformes,Laniidae,Lanius,ludovicianus,Loggerhead shrike,46,46.0,0.046,12.5,12.5,-1.337242168318426,1.0969100130080565,wild,acceptable,578,AnAge (Adult weight (g)),AnAge (Maximum longevity (yrs)),
00964,Animalia,Chordata,Aves,Passeriformes,Laniidae,Lanius,senator,Woodchat shrike,36,36.0,0.036,5.7,5.7,-1.4436974992327127,0.7558748556724915,wild,acceptable,450,AnAge (Adult weight (g)),AnAge (Maximum longevity (yrs)),
00965,Animalia,Chordata,Aves,Passeriformes,Leiothrichidae,Leiothrix,lutea,Red-billed leiothrix,21.5,21.5,0.0215,15,15.0,-1.6675615400843946,1.1760912590556813,captivity,acceptable,575,AnAge (Adult weight (g)),AnAge (Maximum longevity (yrs)),
00966,Animalia,Chordata,Aves,Passeriformes,Leiothrichidae,Turdoides,squamiceps,Arabian babbler,73.5,73.5,0.0735,13.5,13.5,-1.1337126609158052,1.130333768495006,wild,acceptable,450,AnAge (Adult weight (g)),AnAge (Maximum longevity (yrs)),
00967,Animalia,Chordata,Aves,Passeriformes,Leiothrichidae,Turdoides,striata,Bengal jungle babbler,66,66.0,0.066,16.5,16.5,-1.1804560644581312,1.2174839442139063,captivity,acceptable,575,AnAge (Adult weight (g)),AnAge (Maximum longevity (yrs)),
00968,Animalia,Chordata,Aves,Passeriformes,Locustellidae,Locustella,fluviatilis,River warbler,16.1,16.1,0.0161,6.9,6.9,-1.7931741239681502,0.8388490907372553,wild,acceptable,0450,AnAge (Adult weight (g)),AnAge (Maximum longevity (yrs)),
00969,Animalia,Chordata,Aves,Passeriformes,Locustellidae,Locustella,luscinioides,Savi's warbler,13.9,13.9,0.013900000000000001,9.8,9.8,-1.8569851997459048,0.9912260756924949,wild,acceptable,450,AnAge (Adult weight (g)),AnAge (Maximum longevity (yrs)),
00970,Animalia,Chordata,Aves,Passeriformes,Locustellidae,Locustella,naevia,Common grasshopper-warbler,13.3,13.3,0.013300000000000001,5.9,5.9,-1.8761483590329142,0.7708520116421442,wild,acceptable,450,AnAge (Adult weight (g)),AnAge (Maximum longevity (yrs)),
00971,Animalia,Chordata,Aves,Passeriformes,Locustellidae,Megalurus,gramineus,Little grassbird,14.3,14.3,0.0143,3.3,3.3,-1.8446639625349381,0.5185139398778874,wild,acceptable,1305,AnAge (Adult weight (g)),AnAge (Maximum longevity (yrs)),
00972,Animalia,Chordata,Aves,Passeriformes,Locustellidae,Megalurus,timoriensis,Tawny grassbird,24.775,24.775,0.024775,3.2,3.2,-1.605986336842687,0.505149978319906,wild,acceptable,1305,AnAge (Adult weight (g)),AnAge (Maximum longevity (yrs)),
00973,Animalia,Chordata,Aves,Passeriformes,Machaerirhynchidae,Machaerirhynchus,flaviventer,Yellow-breasted boatbill,10.5,10.5,0.0105,12,12.0,-1.978810700930062,1.0791812460476249,wild,acceptable,1305,AnAge (Adult weight (g)),AnAge (Maximum longevity (yrs)),
00974,Animalia,Chordata,Aves,Passeriformes,Maluridae,Amytornis,barbatus,Grey grasswren,18.2,18.2,0.0182,3,3.0,-1.739928612014925,0.47712125471966244,wild,acceptable,1305,AnAge (Adult weight (g)),AnAge (Maximum longevity (yrs)),
00975,Animalia,Chordata,Aves,Passeriformes,Maluridae,Malurus,amabilis,Lovely fairywren,8.65,8.65,0.00865,12,12.0,-2.0629838925351858,1.0791812460476249,wild,acceptable,1305,AnAge (Adult weight (g)),AnAge (Maximum longevity (yrs)),
00976,Animalia,Chordata,Aves,Passeriformes,Maluridae,Malurus,coronatus,Purple-crowned fairywren,11.1,11.1,0.0111,5.5,5.5,-1.9546770212133424,0.7403626894942439,wild,acceptable,1305,AnAge (Adult weight (g)),AnAge (Maximum longevity (yrs)),
00977,Animalia,Chordata,Aves,Passeriformes,Maluridae,Malurus,cyaneus,Superb fairywren,10.4,10.4,0.0104,10.5,10.5,-1.9829666607012197,1.021189299069938,wild,acceptable,1305,AnAge (Adult weight (g)),AnAge (Maximum longevity (yrs)),
00978,Animalia,Chordata,Aves,Passeriformes,Maluridae,Malurus,elegans,Red-winged fairywren,9.75,9.75,0.00975,10,10.0,-2.010995384301463,1.0,wild,acceptable,1305,AnAge (Adult weight (g)),AnAge (Maximum longevity (yrs)),
00979,Animalia,Chordata,Aves,Passeriformes,Maluridae,Malurus,lamberti,Variegated fairywren,8.15,8.15,0.008150000000000001,11,11.0,-2.088842391260023,1.041392685158225,wild,acceptable,1305,AnAge (Adult weight (g)),AnAge (Maximum longevity (yrs)),
00980,Animalia,Chordata,Aves,Passeriformes,Maluridae,Malurus,leucopterus,White-winged fairywren,7.4,7.4,0.0074,6,6.0,-2.1307682802690238,0.7781512503836436,wild,acceptable,1305,AnAge (Adult weight (g)),AnAge (Maximum longevity (yrs)),
00981,Animalia,Chordata,Aves,Passeriformes,Maluridae,Malurus,melanocephalus,Red-backed fairywren,7.9,7.9,0.0079,7.7,7.7,-2.1023729087095586,0.8864907251724818,wild,acceptable,1305,AnAge (Adult weight (g)),AnAge (Maximum longevity (yrs)),
00982,Animalia,Chordata,Aves,Passeriformes,Maluridae,Malurus,pulcherrimus,Blue-breasted fairywren,9.2,9.2,0.0092,6.4,6.4,-2.036212172654445,0.8061799739838872,wild,acceptable,1305,AnAge (Adult weight (g)),AnAge (Maximum longevity (yrs)),
00983,Animalia,Chordata,Aves,Passeriformes,Maluridae,Malurus,splendens,Splendid fairywren,9.3125,9.3125,0.0093125,11,11.0,-2.030933714243651,1.041392685158225,wild,acceptable,1305,AnAge (Adult weight (g)),AnAge (Maximum longevity (yrs)),
00984,Animalia,Chordata,Aves,Passeriformes,Maluridae,Stipiturus,malachurus,Southern emu-wren,7.525,7.525,0.0075250000000000004,3.7,3.7,-2.123493495734119,0.568201724066995,wild,acceptable,1305,AnAge (Adult weight (g)),AnAge (Maximum longevity (yrs)),
00985,Animalia,Chordata,Aves,Passeriformes,Meliphagidae,Acanthagenys,rufogularis,Spiny-cheeked honeyeater,47.8,47.8,0.047799999999999995,13.6,13.6,-1.3205721033878812,1.1335389083702174,wild,acceptable,1305,AnAge (Adult weight (g)),AnAge (Maximum longevity (yrs)),
00986,Animalia,Chordata,Aves,Passeriformes,Meliphagidae,Acanthorhynchus,superciliosus,Western spinebill,9.75,9.75,0.00975,10.7,10.7,-2.010995384301463,1.0293837776852097,wild,acceptable,1305,AnAge (Adult weight (g)),AnAge (Maximum longevity (yrs)),
00987,Animalia,Chordata,Aves,Passeriformes,Meliphagidae,Acanthorhynchus,tenuirostris,Eastern spinebill,9.7875,9.7875,0.0097875,15.5,15.5,-2.0093282249340003,1.1903316981702914,wild,acceptable,1305,AnAge (Adult weight (g)),AnAge (Maximum longevity (yrs)),
00988,Animalia,Chordata,Aves,Passeriformes,Meliphagidae,Anthochaera,carunculata,Red wattlebird,102.55,102.55,0.10255,13.3,13.3,-0.9890643352956149,1.1238516409670858,wild,acceptable,1305,AnAge (Adult weight (g)),AnAge (Maximum longevity (yrs)),
00989,Animalia,Chordata,Aves,Passeriformes,Meliphagidae,Anthochaera,chrysoptera,Little wattlebird,66.075,66.075,0.06607500000000001,7.1,7.1,-1.179962828196252,0.8512583487190752,wild,acceptable,1305,AnAge (Adult weight (g)),AnAge (Maximum longevity (yrs)),
00990,Animalia,Chordata,Aves,Passeriformes,Meliphagidae,Anthochaera,lunulata,Western wattlebird,63.8,63.8,0.0638,11.5,11.5,-1.1951793212788377,1.0606978403536118,wild,acceptable,1305,AnAge (Adult weight (g)),AnAge (Maximum longevity (yrs)),
00991,Animalia,Chordata,Aves,Passeriformes,Meliphagidae,Anthochaera,paradoxa,Yellow wattlebird,145.9,145.9,0.1459,9.8,9.8,-0.8359447081065484,0.9912260756924949,wild,acceptable,1305,AnAge (Adult weight (g)),AnAge (Maximum longevity (yrs)),
00993,Animalia,Chordata,Aves,Passeriformes,Meliphagidae,Conopophila,rufogularis,Rufous-throated honeyeater,10.8,10.8,0.0108,9.8,9.8,-1.9665762445130504,0.9912260756924949,wild,acceptable,1305,AnAge (Adult weight (g)),AnAge (Maximum longevity (yrs)),
00994,Animalia,Chordata,Aves,Passeriformes,Meliphagidae,Entomyzon,cyanotis,Blue-faced honeyeater,101.425,101.425,0.101425,9.1,9.1,-0.9938549836236362,0.9590413923210935,wild,acceptable,1305,AnAge (Adult weight (g)),AnAge (Maximum longevity (yrs)),
00995,Animalia,Chordata,Aves,Passeriformes,Meliphagidae,Lichenostomus,chrysops,Yellow-faced honeyeater,17.3,17.3,0.0173,12.6,12.6,-1.7619538968712045,1.100370545117563,wild,acceptable,1305,AnAge (Adult weight (g)),AnAge (Maximum longevity (yrs)),
00996,Animalia,Chordata,Aves,Passeriformes,Meliphagidae,Lichenostomus,cratitius,Purple-gaped honeyeater,20.4,20.4,0.020399999999999998,13.7,13.7,-1.6903698325741012,1.1367205671564067,wild,acceptable,1305,AnAge (Adult weight (g)),AnAge (Maximum longevity (yrs)),
00998,Animalia,Chordata,Aves,Passeriformes,Meliphagidae,Lichenostomus,flavescens,Yellow-tinted honeyeater,12.4,12.4,0.0124,6.5,6.5,-1.9065783148377649,0.8129133566428556,wild,acceptable,1305,AnAge (Adult weight (g)),AnAge (Maximum longevity (yrs)),
01002,Animalia,Chordata,Aves,Passeriformes,Meliphagidae,Lichenostomus,fuscus,Fuscous honeyeater,17.8,17.8,0.0178,17.6,17.6,-1.749579997691106,1.24551266781415,wild,acceptable,1305,AnAge (Adult weight (g)),AnAge (Maximum longevity (yrs)),
01003,Animalia,Chordata,Aves,Passeriformes,Meliphagidae,Lichenostomus,leucotis,White-eared honeyeater,24,24.0,0.024,12.8,12.8,-1.6197887582883939,1.1072099696478683,wild,acceptable,1305,AnAge (Adult weight (g)),AnAge (Maximum longevity (yrs)),
01004,Animalia,Chordata,Aves,Passeriformes,Meliphagidae,Lichenostomus,melanops,Yellow-tufted honeyeater,31.85,31.85,0.03185,15.3,15.3,-1.4968905633286307,1.1846914308175989,wild,acceptable,1305,AnAge (Adult weight (g)),AnAge (Maximum longevity (yrs)),
01005,Animalia,Chordata,Aves,Passeriformes,Meliphagidae,Lichenostomus,ornatus,Yellow-plumed honeyeater,17.6,17.6,0.0176,9.1,9.1,-1.75448733218585,0.9590413923210935,wild,acceptable,1305,AnAge (Adult weight (g)),AnAge (Maximum longevity (yrs)),
01006,Animalia,Chordata,Aves,Passeriformes,Meliphagidae,Lichenostomus,penicillatus,White-plumed honeyeater,19.4,19.4,0.019399999999999997,15.9,15.9,-1.712198270069774,1.2013971243204515,wild,acceptable,1305,AnAge (Adult weight (g)),AnAge (Maximum longevity (yrs)),
01007,Animalia,Chordata,Aves,Passeriformes,Meliphagidae,Lichenostomus,unicolor,White-gaped honeyeater,30.8,30.8,0.0308,12.2,12.2,-1.5114492834995557,1.0863598306747482,wild,acceptable,1305,AnAge (Adult weight (g)),AnAge (Maximum longevity (yrs)),
01008,Animalia,Chordata,Aves,Passeriformes,Meliphagidae,Lichenostomus,virescens,Singing honeyeater,23.4,23.4,0.023399999999999997,10.5,10.5,-1.6307841425898573,1.021189299069938,wild,acceptable,1305,AnAge (Adult weight (g)),AnAge (Maximum longevity (yrs)),
01009,Animalia,Chordata,Aves,Passeriformes,Meliphagidae,Lichmera,indistincta,Brown honeyeater,10.8,10.8,0.0108,13.2,13.2,-1.9665762445130504,1.1205739312058498,wild,acceptable,1305,AnAge (Adult weight (g)),AnAge (Maximum longevity (yrs)),
01010,Animalia,Chordata,Aves,Passeriformes,Meliphagidae,Manorina,flavigula,Yellow-throated miner,52.6,52.6,0.0526,12.1,12.1,-1.279014255846261,1.08278537031645,wild,acceptable,1305,AnAge (Adult weight (g)),AnAge (Maximum longevity (yrs)),
01011,Animalia,Chordata,Aves,Passeriformes,Meliphagidae,Manorina,melanocephala,Noisy miner,60.575,60.575,0.060575000000000004,12.4,12.4,-1.217706577190456,1.0934216851622351,wild,acceptable,1305,AnAge (Adult weight (g)),AnAge (Maximum longevity (yrs)),
01012,Animalia,Chordata,Aves,Passeriformes,Meliphagidae,Manorina,melanophrys,Bell miner,29.725,29.725,0.029725,13.6,13.6,-1.5268781367092708,1.1335389083702174,wild,acceptable,1305,AnAge (Adult weight (g)),AnAge (Maximum longevity (yrs)),
01013,Animalia,Chordata,Aves,Passeriformes,Meliphagidae,Meliphaga,gracilis,Graceful honeyeater,14.75,14.75,0.01475,12,12.0,-1.8312079796858183,1.0791812460476249,wild,acceptable,1305,AnAge (Adult weight (g)),AnAge (Maximum longevity (yrs)),
01014,Animalia,Chordata,Aves,Passeriformes,Meliphagidae,Meliphaga,lewinii,Lewin's honeyeater,34.4,34.4,0.0344,15.9,15.9,-1.4634415574284698,1.2013971243204515,wild,acceptable,1305,AnAge (Adult weight (g)),AnAge (Maximum longevity (yrs)),
01015,Animalia,Chordata,Aves,Passeriformes,Meliphagidae,Meliphaga,notata,Yellow-spotted honeyeater,26.325,26.325,0.026324999999999998,11.2,11.2,-1.5796316201424758,1.0492180226701815,wild,acceptable,1305,AnAge (Adult weight (g)),AnAge (Maximum longevity (yrs)),
01016,Animalia,Chordata,Aves,Passeriformes,Meliphagidae,Melithreptus,affinis,Black-headed honeyeater,15,15.0,0.015,8.7,8.7,-1.8239087409443189,0.9395192526186185,wild,acceptable,1305,AnAge (Adult weight (g)),AnAge (Maximum longevity (yrs)),
01017,Animalia,Chordata,Aves,Passeriformes,Meliphagidae,Melithreptus,albogularis,White-throated honeyeater,10.9,10.9,0.0109,10.5,10.5,-1.9625735020593764,1.021189299069938,wild,acceptable,1305,AnAge (Adult weight (g)),AnAge (Maximum longevity (yrs)),
01018,Animalia,Chordata,Aves,Passeriformes,Meliphagidae,Melithreptus,brevirostris,Brown-headed honeyeater,12.825,12.825,0.012825,12.2,12.2,-1.891942626216146,1.0863598306747482,wild,acceptable,1305,AnAge (Adult weight (g)),AnAge (Maximum longevity (yrs)),
01019,Animalia,Chordata,Aves,Passeriformes,Meliphagidae,Melithreptus,gularis,Black-chinned honeyeater,19.5,19.5,0.0195,10,10.0,-1.709965388637482,1.0,wild,acceptable,1305,AnAge (Adult weight (g)),AnAge (Maximum longevity (yrs)),
01020,Animalia,Chordata,Aves,Passeriformes,Meliphagidae,Melithreptus,lunatus,White-naped honeyeater,13.85,13.85,0.01385,12.3,12.3,-1.8585502265995326,1.089905111439398,wild,acceptable,1305,AnAge (Adult weight (g)),AnAge (Maximum longevity (yrs)),
01022,Animalia,Chordata,Aves,Passeriformes,Meliphagidae,Myzomela,erythrocephala,Red-headed myzomela,7.75,7.75,0.00775,7.1,7.1,-2.11069829749369,0.8512583487190752,wild,acceptable,1305,AnAge (Adult weight (g)),AnAge (Maximum longevity (yrs)),
01023,Animalia,Chordata,Aves,Passeriformes,Meliphagidae,Myzomela,obscura,Dusky myzomela,12.25,12.25,0.01225,12,12.0,-1.9118639112994487,1.0791812460476249,wild,acceptable,1305,AnAge (Adult weight (g)),AnAge (Maximum longevity (yrs)),
01024,Animalia,Chordata,Aves,Passeriformes,Meliphagidae,Myzomela,sanguinolenta,Scarlet myzomela,8.1,8.1,0.0081,10,10.0,-2.0915149811213505,1.0,wild,acceptable,1305,AnAge (Adult weight (g)),AnAge (Maximum longevity (yrs)),
01027,Animalia,Chordata,Aves,Passeriformes,Meliphagidae,Philemon,citreogularis,Little friarbird,62.25,62.25,0.06225,10.6,10.6,-1.205860644232226,1.0253058652647702,wild,acceptable,1305,AnAge (Adult weight (g)),AnAge (Maximum longevity (yrs)),
01028,Animalia,Chordata,Aves,Passeriformes,Meliphagidae,Philemon,corniculatus,Noisy friarbird,103.375,103.375,0.103375,9.8,9.8,-0.9855844774393969,0.9912260756924949,wild,acceptable,1305,AnAge (Adult weight (g)),AnAge (Maximum longevity (yrs)),
01029,Animalia,Chordata,Aves,Passeriformes,Meliphagidae,Phylidonyris,niger,White-cheeked honeyeater,18,18.0,0.018,11.6,11.6,-1.744727494896694,1.0644579892269186,wild,acceptable,1305,AnAge (Adult weight (g)),AnAge (Maximum longevity (yrs)),
01030,Animalia,Chordata,Aves,Passeriformes,Meliphagidae,Phylidonyris,novaehollandiae,New holland honeyeater,18.5,18.5,0.0185,22.9,22.9,-1.7328282715969863,1.359835482339888,wild,acceptable,1305,AnAge (Adult weight (g)),AnAge (Maximum longevity (yrs)),
01031,Animalia,Chordata,Aves,Passeriformes,Meliphagidae,Phylidonyris,pyrrhopterus,Crescent honeyeater,15.525,15.525,0.015525,9.9,9.9,-1.808968391151382,0.9956351945975499,wild,acceptable,1305,AnAge (Adult weight (g)),AnAge (Maximum longevity (yrs)),
01032,Animalia,Chordata,Aves,Passeriformes,Meliphagidae,Plectorhyncha,lanceolata,Striped honeyeater,39.75,39.75,0.03975,4.4,4.4,-1.400662867007511,0.6434526764861874,wild,acceptable,1305,AnAge (Adult weight (g)),AnAge (Maximum longevity (yrs)),
01033,Animalia,Chordata,Aves,Passeriformes,Meliphagidae,Xanthotis,flaviventer,Tawny-breasted honeyeater,37.625,37.625,0.037625,9,9.0,-1.4245234913981002,0.9542425094393249,wild,acceptable,1305,AnAge (Adult weight (g)),AnAge (Maximum longevity (yrs)),
01034,Animalia,Chordata,Aves,Passeriformes,Meliphagidae,Xanthotis,macleayanus,Macleay's honeyeater,29.425,29.425,0.029425,8,8.0,-1.5312835284845276,0.9030899869919435,wild,acceptable,1305,AnAge (Adult weight (g)),AnAge (Maximum longevity (yrs)),
01035,Animalia,Chordata,Aves,Passeriformes,Menuridae,Menura,novaehollandiae,Superb lyrebird,979.95,979.95,0.9799500000000001,17.9,17.9,-0.008796082754506168,1.252853030979893,wild,acceptable,1305,AnAge (Adult weight (g)),AnAge (Maximum longevity (yrs)),
01036,Animalia,Chordata,Aves,Passeriformes,Mimidae,Dumetella,carolinensis,Gray catbird,34.5,34.5,0.0345,17.9,17.9,-1.4621809049267258,1.252853030979893,wild,acceptable,427,AnAge (Adult weight (g)),AnAge (Maximum longevity (yrs)),
01037,Animalia,Chordata,Aves,Passeriformes,Mimidae,Margarops,fuscatus,Pearly-eyed thrasher,98.6,98.6,0.0986,17,17.0,-1.0061230850587888,1.2304489213782739,wild,acceptable,1369,AnAge (Adult weight (g)),AnAge (Maximum longevity (yrs)),
01038,Animalia,Chordata,Aves,Passeriformes,Mimidae,Mimus,polyglottos,Northern mockingbird,53,53.0,0.053,20,20.0,-1.275724130399211,1.3010299956639813,wild,acceptable,1,AnAge (Adult weight (g)),AnAge (Maximum longevity (yrs)),
01039,Animalia,Chordata,Aves,Passeriformes,Mimidae,Toxostoma,bendirei,Bendire's thrasher,62.2,62.2,0.062200000000000005,9.5,9.5,-1.2062096153091812,0.9777236052888477,wild,acceptable,427,AnAge (Adult weight (g)),AnAge (Maximum longevity (yrs)),
01040,Animalia,Chordata,Aves,Passeriformes,Mimidae,Toxostoma,crissale,Crissal thrasher,62.7,62.7,0.0627,4.8,4.8,-1.2027324591692836,0.6812412373755872,wild,acceptable,427,AnAge (Adult weight (g)),AnAge (Maximum longevity (yrs)),
01041,Animalia,Chordata,Aves,Passeriformes,Mimidae,Toxostoma,curvirostre,Curve-billed thrasher,80.65,80.65,0.08065,10.8,10.8,-1.0933956282750197,1.0334237554869496,wild,acceptable,578,AnAge (Adult weight (g)),AnAge (Maximum longevity (yrs)),
01042,Animalia,Chordata,Aves,Passeriformes,Mimidae,Toxostoma,lecontei,Le conte's thrasher,61.82,61.82,0.06182,5.7,5.7,-1.2088709992727138,0.7558748556724915,wild,acceptable,578,AnAge (Adult weight (g)),AnAge (Maximum longevity (yrs)),
01043,Animalia,Chordata,Aves,Passeriformes,Mimidae,Toxostoma,longirostre,Long-billed thrasher,67.65,67.65,0.06765,7.8,7.8,-1.1697321990663583,0.8920946026904804,wild,acceptable,427,AnAge (Adult weight (g)),AnAge (Maximum longevity (yrs)),
01044,Animalia,Chordata,Aves,Passeriformes,Mimidae,Toxostoma,redivivum,California thrasher,84.4,84.4,0.0844,6.9,6.9,-1.0736575533743449,0.8388490907372553,wild,acceptable,578,AnAge (Adult weight (g)),AnAge (Maximum longevity (yrs)),
01045,Animalia,Chordata,Aves,Passeriformes,Mimidae,Toxostoma,rufum,Brown thrasher,67,67.0,0.067,12.8,12.8,-1.1739251972991736,1.1072099696478683,wild,acceptable,578,AnAge (Adult weight (g)),AnAge (Maximum longevity (yrs)),
01046,Animalia,Chordata,Aves,Passeriformes,Monarchidae,Arses,kaupi,Pied monarch,13.6,13.6,0.0136,4,4.0,-1.8664610916297826,0.6020599913279624,wild,acceptable,1305,AnAge (Adult weight (g)),AnAge (Maximum longevity (yrs)),
