bin2,log10M_med,log10T_med,n,Mass_med_kg,T_med_yr
-10,-9.0,-0.7958800173440752,1,1e-09,0.16
-8,-6.522878745280337,-0.5228787452803376,1,3.000000000000001e-07,0.29999999999999993
-4,-2.1307682802690238,0.9493900066449128,165,0.007400000000000001,8.9
-2,-0.9842755690703082,1.100370545117563,1686,0.10368702908271604,12.600000000000001
0,0.6517333966103818,1.3443922736851108,1117,4.4847,22.100000000000005
2,2.3010299956639813,1.5185059637078577,144,200.00000000000003,32.99939393382854
4,4.45484486000851,1.8864907251724818,12,28500.0,77.0
