Class,Genus,Species,Common_name,Mass_kg,Max_longevity_yr,Data_quality,Specimen_origin,Mass_source,Longevity_source
Aves,Haliastur,sphenurus,Whistling kite,0.755,20.4,acceptable,wild,AnAge,AnAge
Aves,Harpia,harpyja,Harpy eagle,4.8,16.8,acceptable,captivity,AnAge,AnAge
Aves,Harpyopsis,novaeguineae,New Guinea eagle,2.0,30.0,acceptable,captivity,AnAge,AnAge
Aves,Hieraaetus,morphnoides,Little eagle,0.791,38.7,acceptable,wild,AnAge,AnAge
Aves,Ictinia,mississippiensis,Mississippi kite,0.266,11.2,acceptable,wild,AnAge,AnAge
Aves,Kaupifalco,monogrammicus,Lizard buzzard,0.2805,8.6,acceptable,wild,AnAge,AnAge
Aves,Lophoictinia,isura,Square-tailed kite,0.5855,17.0,acceptable,wild,AnAge,AnAge
Aves,Milvus,migrans,Black kite,1.0,24.0,acceptable,unknown,AnAge,AnAge
Aves,Milvus,milvus,Red kite,1.08,38.0,acceptable,captivity,AnAge,AnAge
Aves,Necrosyrtes,monachus,Hooded vulture,2.043,21.3,acceptable,wild,AnAge,AnAge
Aves,Neophron,percnopterus,Egyptian vulture,2.082,37.0,acceptable,captivity,AnAge,AnAge
Aves,Parabuteo,unicinctus,Harris's hawk,0.99426,25.0,acceptable,captivity,AnAge,AnAge
Aves,Pernis,apivorus,"European honey buzzard, or Western honey-buzzard",0.758,29.0,acceptable,wild,AnAge,AnAge
Aves,Pithecophaga,jefferyi,Philippine eagle,6.5,41.0,acceptable,captivity,AnAge,AnAge
Aves,Rostrhamus,sociabilis,Snail kite,0.3525,17.0,acceptable,wild,AnAge,AnAge
Aves,Cathartes,aura,Turkey vulture,2.2,20.8,acceptable,unknown,AnAge,AnAge
Aves,Coragyps,atratus,Black vulture,2.27,25.5,acceptable,wild,AnAge,AnAge
Aves,Gymnogyps,californianus,California condor,11.175,45.0,acceptable,wild,AnAge,AnAge
Aves,Sarcoramphus,papa,King vulture,3.405,40.0,acceptable,captivity,AnAge,AnAge
Aves,Vultur,gryphus,Andean condor,10.5,79.0,acceptable,captivity,AnAge,AnAge
Aves,Pandion,cristatus,Eastern osprey,1.5275,21.0,acceptable,wild,AnAge,AnAge
Aves,Pandion,haliaetus,Osprey,1.362,32.0,acceptable,wild,AnAge,AnAge
Aves,Aix,sponsa,Wood duck,0.45280000000000004,22.5,acceptable,wild,AnAge,AnAge
Aves,Alopochen,aegyptiaca,Egyptian goose,1.9,25.5,acceptable,captivity,AnAge,AnAge
Aves,Anas,acuta,Northern pintail,0.721,27.4,acceptable,wild,AnAge,AnAge
Aves,Anas,americana,American wigeon,0.7938,21.3,acceptable,wild,AnAge,AnAge
Aves,Anas,clypeata,Northern shoveler,0.613,22.6,acceptable,wild,AnAge,AnAge
Aves,Anas,crecca,Green-winged teal,0.3438,27.1,acceptable,wild,AnAge,AnAge
Aves,Anas,cyanoptera,Cinnamon teal,0.411,12.9,acceptable,wild,AnAge,AnAge
Aves,Anas,discors,Blue-winged teal,0.42,23.2,acceptable,wild,AnAge,AnAge
Aves,Anas,fulvigula,Mottled duck,0.95,20.0,acceptable,captivity,AnAge,AnAge
Aves,Anas,gracilis,Grey teal,0.48875,31.7,acceptable,wild,AnAge,AnAge
Aves,Anas,laysanensis,Laysan duck,0.5,12.0,acceptable,wild,AnAge,AnAge
Aves,Anas,penelope,Eurasian wigeon,0.66,35.2,acceptable,wild,AnAge,AnAge
Aves,Anas,platyrhynchos,Mallard,1.0480999999999998,29.1,acceptable,unknown,AnAge,AnAge
Aves,Anas,querquedula,Garganey,0.326,14.7,acceptable,wild,AnAge,AnAge
Aves,Anas,rubripes,American black duck,0.9987,26.6,acceptable,wild,AnAge,AnAge
Aves,Anas,strepera,Gadwall,0.791,28.0,acceptable,unknown,AnAge,AnAge
Aves,Anas,superciliosa,Pacific black duck,0.981,27.2,acceptable,wild,AnAge,AnAge
Aves,Anser,albifrons,Greater white-fronted goose,2.681,47.0,acceptable,captivity,AnAge,AnAge
Aves,Anser,anser,Greylag goose,3.3085,31.0,high,captivity,AnAge,AnAge
Aves,Anser,brachyrhynchus,Pink-footed goose,2.645,40.9,acceptable,wild,AnAge,AnAge
