HAGRID,Kingdom,Phylum,Class,Order,Family,Genus,Species,Common name,Adult weight (g),Maximum longevity (yrs),Specimen origin,Data quality,Source
00245,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Circus,cyaneus,Northern harrier,392,17.1,wild,acceptable,450
00246,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Circus,macrourus,Pallid harrier,388.5,13.5,wild,acceptable,1
00247,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Circus,pygargus,Montagu's harrier,315.5,16.3,wild,acceptable,1
00248,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Elanus,axillaris,Black-shouldered kite,265.5,3.5,wild,acceptable,1305
00249,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Elanus,caeruleus,Black-winged kite,260.5,6,wild,acceptable,1
00250,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Elanus,leucurus,White-tailed kite,280,6,wild,acceptable,427
00251,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Geranoaetus,melanoleucus,Black-chested buzzard-eagle,2447.5,42,captivity,acceptable,575
00252,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Gypaetus,barbatus,Bearded vulture,5070,40,captivity,acceptable,1
00253,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Gypohierax,angolensis,Palm-nut vulture,1600,27.1,captivity,acceptable,575
00254,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Gyps,africanus,White-backed vulture,5433,19.7,captivity,acceptable,575
00256,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Gyps,coprotheres,Cape vulture,8177,31.2,wild,acceptable,1343
00257,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Gyps,fulvus,"Griffon vulture, or Eurasian griffon",7436,41.4,captivity,acceptable,1
00258,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Haliaeetus,albicilla,White-tailed sea-eagle,6696.5,42,captivity,acceptable,1
00259,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Haliaeetus,leucocephalus,Bald eagle,3175,48,captivity,acceptable,
00260,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Haliastur,indus,Brahminy kite,529,24.5,wild,acceptable,1305
00261,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Haliastur,sphenurus,Whistling kite,755,20.4,wild,acceptable,1305
00262,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Harpia,harpyja,Harpy eagle,4800,16.8,captivity,acceptable,575
00263,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Harpyopsis,novaeguineae,New Guinea eagle,2000,30,captivity,acceptable,1
00264,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Hieraaetus,morphnoides,Little eagle,791,38.7,wild,acceptable,1305
00265,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Ictinia,mississippiensis,Mississippi kite,266,11.2,wild,acceptable,427
00266,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Kaupifalco,monogrammicus,Lizard buzzard,280.5,8.6,wild,acceptable,1
00267,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Lophoictinia,isura,Square-tailed kite,585.5,17,wild,acceptable,1
00268,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Milvus,migrans,Black kite,1000,24,unknown,acceptable,
00269,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Milvus,milvus,Red kite,1080,38,captivity,acceptable,1
00270,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Necrosyrtes,monachus,Hooded vulture,2043,21.3,wild,acceptable,1343
00271,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Neophron,percnopterus,Egyptian vulture,2082,37,captivity,acceptable,1
00272,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Parabuteo,unicinctus,Harris's hawk,994.26,25,captivity,acceptable,1
00273,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Pernis,apivorus,"European honey buzzard, or Western honey-buzzard",758,29,wild,acceptable,1
00274,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Pithecophaga,jefferyi,Philippine eagle,6500,41,captivity,acceptable,515
00275,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Rostrhamus,sociabilis,Snail kite,352.5,17,wild,acceptable,1
00279,Animalia,Chordata,Aves,Accipitriformes,Cathartidae,Cathartes,aura,Turkey vulture,2200,20.8,unknown,acceptable,
00280,Animalia,Chordata,Aves,Accipitriformes,Cathartidae,Coragyps,atratus,Black vulture,2270,25.5,wild,acceptable,576
00281,Animalia,Chordata,Aves,Accipitriformes,Cathartidae,Gymnogyps,californianus,California condor,11175,45,wild,acceptable,1
00282,Animalia,Chordata,Aves,Accipitriformes,Cathartidae,Sarcoramphus,papa,King vulture,3405,40,captivity,acceptable,1
00283,Animalia,Chordata,Aves,Accipitriformes,Cathartidae,Vultur,gryphus,Andean condor,10500,79,captivity,acceptable,855
00284,Animalia,Chordata,Aves,Accipitriformes,Pandionidae,Pandion,cristatus,Eastern osprey,1527.5,21,wild,acceptable,1305
00285,Animalia,Chordata,Aves,Accipitriformes,Pandionidae,Pandion,haliaetus,Osprey,1362,32,wild,acceptable,427
00287,Animalia,Chordata,Aves,Anseriformes,Anatidae,Aix,sponsa,Wood duck,452.8,22.5,wild,acceptable,577
00288,Animalia,Chordata,Aves,Anseriformes,Anatidae,Alopochen,aegyptiaca,Egyptian goose,1900,25.5,captivity,acceptable,575
00289,Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas,acuta,Northern pintail,721,27.4,wild,acceptable,450
00290,Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas,americana,American wigeon,793.8,21.3,wild,acceptable,576
00293,Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas,clypeata,Northern shoveler,613,22.6,wild,acceptable,553
00294,Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas,crecca,Green-winged teal,343.8,27.1,wild,acceptable,450
00295,Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas,cyanoptera,Cinnamon teal,411,12.9,wild,acceptable,576
00296,Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas,discors,Blue-winged teal,420,23.2,wild,acceptable,427
00297,Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas,fulvigula,Mottled duck,950,20,captivity,acceptable,1
00298,Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas,gracilis,Grey teal,488.75,31.7,wild,acceptable,1305
00299,Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas,laysanensis,Laysan duck,500,12,wild,acceptable,576
00300,Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas,penelope,Eurasian wigeon,660,35.2,wild,acceptable,450
00301,Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas,platyrhynchos,Mallard,1048.1,29.1,unknown,acceptable,
00302,Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas,querquedula,Garganey,326,14.7,wild,acceptable,450
00304,Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas,rubripes,American black duck,998.7,26.6,wild,acceptable,972
00305,Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas,strepera,Gadwall,791,28,unknown,acceptable,972
00306,Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas,superciliosa,Pacific black duck,981,27.2,wild,acceptable,1305
00307,Animalia,Chordata,Aves,Anseriformes,Anatidae,Anser,albifrons,Greater white-fronted goose,2681,47,captivity,acceptable,445
00308,Animalia,Chordata,Aves,Anseriformes,Anatidae,Anser,anser,Greylag goose,3308.5,31,captivity,high,575
00309,Animalia,Chordata,Aves,Anseriformes,Anatidae,Anser,brachyrhynchus,Pink-footed goose,2645,40.9,wild,acceptable,450
00311,Animalia,Chordata,Aves,Anseriformes,Anatidae,Anser,fabalis,Bean goose,3348,25.6,wild,acceptable,450
00312,Animalia,Chordata,Aves,Anseriformes,Anatidae,Aythya,affinis,Lesser scaup,787,18.3,wild,acceptable,576
00313,Animalia,Chordata,Aves,Anseriformes,Anatidae,Aythya,americana,Redhead,1077.3,22.6,wild,acceptable,427
00315,Animalia,Chordata,Aves,Anseriformes,Anatidae,Aythya,collaris,Ring-necked duck,737,20.4,wild,acceptable,577
00316,Animalia,Chordata,Aves,Anseriformes,Anatidae,Aythya,ferina,Common pochard,823,23.2,wild,acceptable,450
00317,Animalia,Chordata,Aves,Anseriformes,Anatidae,Aythya,fuligula,Tufted duck,701.5,45.2,wild,acceptable,450
00318,Animalia,Chordata,Aves,Anseriformes,Anatidae,Aythya,marila,Greater scaup,928.5,22.1,wild,acceptable,576
00319,Animalia,Chordata,Aves,Anseriformes,Anatidae,Aythya,valisineria,Canvasback,1208.8,29.5,wild,acceptable,427
00320,Animalia,Chordata,Aves,Anseriformes,Anatidae,Biziura,lobata,Musk duck,1697.5,6.2,wild,acceptable,1305
00321,Animalia,Chordata,Aves,Anseriformes,Anatidae,Branta,bernicla,Brent goose,1163.2,28.8,wild,acceptable,450
00322,Animalia,Chordata,Aves,Anseriformes,Anatidae,Branta,canadensis,Canada goose,3200,42,unknown,acceptable,
00323,Animalia,Chordata,Aves,Anseriformes,Anatidae,Branta,hutchinsii,Cackling goose,1940.1,18.3,wild,acceptable,0427
00324,Animalia,Chordata,Aves,Anseriformes,Anatidae,Branta,leucopsis,Barnacle goose,1687,28.2,wild,acceptable,450
00325,Animalia,Chordata,Aves,Anseriformes,Anatidae,Branta,sandvicensis,Hawaiian goose,2150,42,wild,acceptable,445
00326,Animalia,Chordata,Aves,Anseriformes,Anatidae,Bucephala,albeola,Bufflehead,400,18.7,wild,acceptable,427
00327,Animalia,Chordata,Aves,Anseriformes,Anatidae,Bucephala,clangula,Common goldeneye,895.86,20.9,wild,acceptable,0450
00328,Animalia,Chordata,Aves,Anseriformes,Anatidae,Bucephala,islandica,Barrow's goldeneye,957.15,18,wild,acceptable,576
00330,Animalia,Chordata,Aves,Anseriformes,Anatidae,Cereopsis,novaehollandiae,Cape barren goose,3980,29.1,wild,acceptable,1305
00331,Animalia,Chordata,Aves,Anseriformes,Anatidae,Chen,caerulescens,Snow goose,2806.65,27.5,wild,acceptable,427
00332,Animalia,Chordata,Aves,Anseriformes,Anatidae,Chen,canagica,Emperor goose,2148,12,wild,acceptable,427
00333,Animalia,Chordata,Aves,Anseriformes,Anatidae,Chen,rossii,Ross's goose,1715,22.5,wild,acceptable,818
00334,Animalia,Chordata,Aves,Anseriformes,Anatidae,Chenonetta,jubata,Maned duck,812.5,9.1,wild,acceptable,1305
00335,Animalia,Chordata,Aves,Anseriformes,Anatidae,Clangula,hyemalis,Oldsquaw,872,22.7,wild,acceptable,450
00336,Animalia,Chordata,Aves,Anseriformes,Anatidae,Cygnus,atratus,Black swan,5650,24.7,wild,acceptable,1305
00337,Animalia,Chordata,Aves,Anseriformes,Anatidae,Cygnus,buccinator,Trumpeter swan,13000,32.5,captivity,acceptable,1
00338,Animalia,Chordata,Aves,Anseriformes,Anatidae,Cygnus,columbianus,Tundra swan,6350,24.1,wild,acceptable,450
00339,Animalia,Chordata,Aves,Anseriformes,Anatidae,Cygnus,cygnus,Whooper swan,9350,26.7,wild,acceptable,0450
00340,Animalia,Chordata,Aves,Anseriformes,Anatidae,Cygnus,olor,Mute swan,8300,40,wild,acceptable,1304
00341,Animalia,Chordata,Aves,Anseriformes,Anatidae,Dendrocygna,autumnalis,Black-bellied whistling duck,828,8.2,wild,acceptable,576
00344,Animalia,Chordata,Aves,Anseriformes,Anatidae,Dendrocygna,viduata,White-faced whistling duck,610,12,captivity,acceptable,448
00345,Animalia,Chordata,Aves,Anseriformes,Anatidae,Histrionicus,histrionicus,Harlequin duck,561.25,14.6,wild,acceptable,427
00346,Animalia,Chordata,Aves,Anseriformes,Anatidae,Lophodytes,cucullatus,Hooded merganser,634.375,15.7,captivity,acceptable,986
00348,Animalia,Chordata,Aves,Anseriformes,Anatidae,Melanitta,fusca,White-winged scoter,1360.8,21.4,wild,acceptable,450
00349,Animalia,Chordata,Aves,Anseriformes,Anatidae,Melanitta,nigra,Black scoter,1052.2,16.8,wild,acceptable,450
00350,Animalia,Chordata,Aves,Anseriformes,Anatidae,Melanitta,perspicillata,Surf scoter,1097.5,9.5,wild,acceptable,0427
00351,Animalia,Chordata,Aves,Anseriformes,Anatidae,Mergellus,albellus,Smew,610,10,wild,acceptable,450
00352,Animalia,Chordata,Aves,Anseriformes,Anatidae,Mergus,merganser,Common merganser,1445,14.8,wild,acceptable,450
00353,Animalia,Chordata,Aves,Anseriformes,Anatidae,Mergus,serrator,Red-breasted merganser,1020.6,21.3,wild,acceptable,450
00354,Animalia,Chordata,Aves,Anseriformes,Anatidae,Netta,rufina,Red-crested pochard,1118,12.9,wild,acceptable,0450
00355,Animalia,Chordata,Aves,Anseriformes,Anatidae,Oxyura,australis,Blue-billed duck,798,16,captivity,acceptable,1
00356,Animalia,Chordata,Aves,Anseriformes,Anatidae,Oxyura,jamaicensis,Ruddy duck,542,20,captivity,acceptable,"Sarah Shannon, pers. comm."
00357,Animalia,Chordata,Aves,Anseriformes,Anatidae,Plectropterus,gambensis,Spur-winged goose,3869,11.3,captivity,acceptable,575
00358,Animalia,Chordata,Aves,Anseriformes,Anatidae,Polysticta,stelleri,Steller's eider,907.2,23,wild,acceptable,818
00360,Animalia,Chordata,Aves,Anseriformes,Anatidae,Somateria,mollissima,Common eider,2130,37.8,wild,acceptable,450
00362,Animalia,Chordata,Aves,Anseriformes,Anatidae,Tadorna,tadorna,Common shelduck,1152,24.8,wild,acceptable,450
00363,Animalia,Chordata,Aves,Anseriformes,Anatidae,Tadorna,tadornoides,Australian shelduck,1364,13.1,wild,acceptable,1305
00364,Animalia,Chordata,Aves,Anseriformes,Anseranatidae,Anseranas,semipalmata,Magpie goose,2071,24.8,wild,acceptable,1305
00365,Animalia,Chordata,Aves,Apodiformes,Aegothelidae,Aegotheles,cristatus,Australian owlet-nightjar,44.125,5.9,wild,acceptable,1305
00366,Animalia,Chordata,Aves,Apodiformes,Apodidae,Aerodramus,terraereginae,Australian swiftlet,11.875,9.3,wild,acceptable,1305
00367,Animalia,Chordata,Aves,Apodiformes,Apodidae,Aeronautes,saxatalis,White-throated swift,31,10,wild,acceptable,427
00368,Animalia,Chordata,Aves,Apodiformes,Apodidae,Apus,apus,Common swift,37.6,21.1,wild,acceptable,450
