HAGRID,Kingdom,Phylum,Class,Order,Family,Genus,Species,Common name,Adult weight (g),Maximum longevity (yrs),Specimen origin,Data quality,Source
01197,Animalia,Chordata,Aves,Passeriformes,Passerellidae,Zonotrichia,leucophrys,White-crowned sparrow,25.82,13.3,wild,acceptable,427
01198,Animalia,Chordata,Aves,Passeriformes,Passerellidae,Zonotrichia,querula,Harris's sparrow,33.1,11.7,wild,acceptable,580
01199,Animalia,Chordata,Aves,Passeriformes,Passeridae,Passer,domesticus,House sparrow,25.3,23,unknown,acceptable,
01200,Animalia,Chordata,Aves,Passeriformes,Passeridae,Passer,hispaniolensis,Spanish sparrow,24.2,11.2,wild,acceptable,729
01202,Animalia,Chordata,Aves,Passeriformes,Passeridae,Passer,montanus,Eurasian tree sparrow,20.5,13.1,wild,acceptable,450
01203,Animalia,Chordata,Aves,Passeriformes,Passeridae,Petronia,petronia,Rock sparrow,30.2,7,wild,acceptable,0450
01204,Animalia,Chordata,Aves,Passeriformes,Petroicidae,Drymodes,brunneopygia,Southern scrub robin,33.95,9.7,wild,acceptable,1305
01205,Animalia,Chordata,Aves,Passeriformes,Petroicidae,Eopsaltria,australis,Eastern yellow robin,20.25,14.7,wild,acceptable,1305
01206,Animalia,Chordata,Aves,Passeriformes,Petroicidae,Eopsaltria,georgiana,White-breasted robin,19.15,18.3,wild,acceptable,1305
01207,Animalia,Chordata,Aves,Passeriformes,Petroicidae,Eopsaltria,griseogularis,Western yellow robin,19.875,8.8,wild,acceptable,1305
01208,Animalia,Chordata,Aves,Passeriformes,Petroicidae,Melanodryas,cucullata,Hooded robin,21.575,9.6,wild,acceptable,1305
01210,Animalia,Chordata,Aves,Passeriformes,Petroicidae,Microeca,fascinans,Jacky winter,14.7583,5.3,wild,acceptable,1305
01211,Animalia,Chordata,Aves,Passeriformes,Petroicidae,Microeca,flavigaster,Lemon-bellied flyrobin,12,4.1,wild,acceptable,1305
01212,Animalia,Chordata,Aves,Passeriformes,Petroicidae,Petroica,goodenovii,Red-capped robin,8.875,5.5,wild,acceptable,1305
01213,Animalia,Chordata,Aves,Passeriformes,Petroicidae,Petroica,phoenicea,Flame robin,13,10.9,wild,acceptable,1305
01215,Animalia,Chordata,Aves,Passeriformes,Petroicidae,Petroica,rosea,Rose robin,8.2,6.1,wild,acceptable,1305
01216,Animalia,Chordata,Aves,Passeriformes,Petroicidae,Poecilodryas,superciliosa,White-browed robin,19.9,9,wild,acceptable,1305
01217,Animalia,Chordata,Aves,Passeriformes,Petroicidae,Tregellasia,capito,Pale-yellow robin,13.9,13.2,wild,acceptable,1305
01218,Animalia,Chordata,Aves,Passeriformes,Petroicidae,Tregellasia,leucops,White-faced robin,15.975,18,wild,acceptable,1305
01220,Animalia,Chordata,Aves,Passeriformes,Phylloscopidae,Phylloscopus,collybita,"Common chiffchaff, or Eurasian chiffchaff",8.3,8,wild,acceptable,450
01221,Animalia,Chordata,Aves,Passeriformes,Phylloscopidae,Phylloscopus,sibillatrix,Wood warbler,9.2,10.2,wild,acceptable,450
01222,Animalia,Chordata,Aves,Passeriformes,Phylloscopidae,Phylloscopus,trochilus,Willow warbler,8.7,11.8,wild,acceptable,450
01223,Animalia,Chordata,Aves,Passeriformes,Pipridae,Chiroxiphia,pareola,Blue-backed manakin,16.9,14,wild,acceptable,1421
01225,Animalia,Chordata,Aves,Passeriformes,Pittidae,Pitta,versicolor,Noisy pitta,90.75,6,wild,acceptable,1305
01226,Animalia,Chordata,Aves,Passeriformes,Ploceidae,Bubalornis,albirostris,"White-billed buffalo weaver, or African ox birds",61.9,20,captivity,acceptable,575
01227,Animalia,Chordata,Aves,Passeriformes,Ploceidae,Ploceus,cucullatus,Village weaver,36.2,24,captivity,acceptable,985
01228,Animalia,Chordata,Aves,Passeriformes,Ploceidae,Quelea,quelea,Red-billed quelea,17.5,10,wild,acceptable,994
01229,Animalia,Chordata,Aves,Passeriformes,Polioptilidae,Polioptila,caerulea,Blue-grey gnatcatcher,6.5,4.2,wild,acceptable,578
01230,Animalia,Chordata,Aves,Passeriformes,Polioptilidae,Polioptila,californica,California gnatcatcher,6,8,wild,acceptable,445
01232,Animalia,Chordata,Aves,Passeriformes,Pomatostomidae,Pomatostomus,ruficeps,Chestnut-crowned babbler,57.8,8.3,wild,acceptable,1305
01233,Animalia,Chordata,Aves,Passeriformes,Pomatostomidae,Pomatostomus,superciliosus,White-browed babbler,43.2,14.4,wild,acceptable,1305
01234,Animalia,Chordata,Aves,Passeriformes,Pomatostomidae,Pomatostomus,temporalis,Grey-crowned babbler,71,13.3,wild,acceptable,1305
01236,Animalia,Chordata,Aves,Passeriformes,Prunellidae,Prunella,modularis,Hedge sparrow,20.2,20.8,wild,acceptable,450
01237,Animalia,Chordata,Aves,Passeriformes,Psophodidae,Psophodes,olivaceus,Eastern whipbird,68,12.3,wild,acceptable,1305
01238,Animalia,Chordata,Aves,Passeriformes,Ptilonorhynchidae,Ailuroedus,crassirostris,Green catbird,207,14.9,wild,acceptable,1305
01239,Animalia,Chordata,Aves,Passeriformes,Ptilonorhynchidae,Ailuroedus,melanotis,Spotted catbird,202,10.4,wild,acceptable,1305
01240,Animalia,Chordata,Aves,Passeriformes,Ptilonorhynchidae,Ptilonorhynchus,violaceus,Satin bowerbird,213,25.1,wild,acceptable,1305
01241,Animalia,Chordata,Aves,Passeriformes,Ptilonorhynchidae,Scenopoeetes,dentirostris,Tooth-billed bowerbird,167.25,22,wild,acceptable,1305
01242,Animalia,Chordata,Aves,Passeriformes,Ptilonorhynchidae,Sericulus,chrysocephalus,Regent bowerbird,100,17.2,wild,acceptable,1305
01243,Animalia,Chordata,Aves,Passeriformes,Pycnonotidae,Pycnonotus,jocosus,Red-whiskered bulbul,27.7,11.1,wild,acceptable,445
01244,Animalia,Chordata,Aves,Passeriformes,Pycnonotidae,Pycnonotus,xanthopygos,White-spectacled bulbul,38.1,8.8,wild,acceptable,450
01245,Animalia,Chordata,Aves,Passeriformes,Regulidae,Regulus,calendula,Ruby-crowned kinglet,6.75,5.6,wild,acceptable,578
01246,Animalia,Chordata,Aves,Passeriformes,Regulidae,Regulus,regulus,Goldcrest,5.6,7,wild,acceptable,729
01247,Animalia,Chordata,Aves,Passeriformes,Regulidae,Regulus,satrapa,Golden-crowned kinglet,5.5,6.3,wild,acceptable,427
01248,Animalia,Chordata,Aves,Passeriformes,Remizidae,Auriparus,flaviceps,Verdin,6.8,5.6,wild,acceptable,578
01249,Animalia,Chordata,Aves,Passeriformes,Remizidae,Remiz,pendulinus,Eurasian penduline-tit,9.3,7.2,wild,acceptable,0450
01250,Animalia,Chordata,Aves,Passeriformes,Rhipiduridae,Rhipidura,leucophrys,Willie wagtail,27,9.4,wild,acceptable,1305
01252,Animalia,Chordata,Aves,Passeriformes,Rhipiduridae,Rhipidura,rufifrons,Rufous fantail,10.2,9.1,wild,acceptable,1305
01254,Animalia,Chordata,Aves,Passeriformes,Sittidae,Sitta,canadensis,Red-breasted nuthatch,11.2,7.5,wild,acceptable,578
01255,Animalia,Chordata,Aves,Passeriformes,Sittidae,Sitta,carolinensis,White-breasted nuthatch,20.5,9.8,wild,acceptable,578
01256,Animalia,Chordata,Aves,Passeriformes,Sittidae,Sitta,europaea,"Wood nuthatch, or Eurasian nuthatch",20.4,12.9,wild,acceptable,450
01257,Animalia,Chordata,Aves,Passeriformes,Sittidae,Sitta,pusilla,Brown-headed nuthatch,10.8,5.8,wild,acceptable,578
01258,Animalia,Chordata,Aves,Passeriformes,Sittidae,Sitta,pygmaea,Pygmy nuthatch,10.7,8.2,wild,acceptable,578
01259,Animalia,Chordata,Aves,Passeriformes,Sturnidae,Acridotheres,cristatellus,Crested myna,116.5,13,captivity,acceptable,575
01260,Animalia,Chordata,Aves,Passeriformes,Sturnidae,Lamprotornis,caudatus,Long-tailed glossy starling,121,17.8,captivity,acceptable,575
01261,Animalia,Chordata,Aves,Passeriformes,Sturnidae,Lamprotornis,hildebrandti,Hildebrandt's starling,55.8,16.9,captivity,acceptable,575
01262,Animalia,Chordata,Aves,Passeriformes,Sturnidae,Lamprotornis,superbus,Superb starling,64.9,25,captivity,acceptable,"Sarah Shannon, pers. comm."
01263,Animalia,Chordata,Aves,Passeriformes,Sturnidae,Leucopsar,rothschildi,Bali mynah,95,25,captivity,acceptable,448
01264,Animalia,Chordata,Aves,Passeriformes,Sturnidae,Sturnus,vulgaris,European starling,74,22.9,wild,acceptable,450
01265,Animalia,Chordata,Aves,Passeriformes,Sylviidae,Chamaea,fasciata,Wrentit,14.7,12.6,wild,acceptable,578
01266,Animalia,Chordata,Aves,Passeriformes,Sylviidae,Sylvia,atricapilla,Blackcap,16.7,13.8,wild,acceptable,450
01267,Animalia,Chordata,Aves,Passeriformes,Sylviidae,Sylvia,borin,Garden warbler,24.6,24,captivity,acceptable,575
01268,Animalia,Chordata,Aves,Passeriformes,Sylviidae,Sylvia,communis,"Common whitethroat, or Whitethroat",17.7,9,wild,acceptable,0450
01269,Animalia,Chordata,Aves,Passeriformes,Sylviidae,Sylvia,curruca,Lesser whitethroat,11.4,9,wild,acceptable,553
01270,Animalia,Chordata,Aves,Passeriformes,Sylviidae,Sylvia,melanocephala,Sardinian warbler,11.7,8.3,wild,acceptable,450
01271,Animalia,Chordata,Aves,Passeriformes,Sylviidae,Sylvia,nisoria,Barred warbler,22.5,11.9,wild,acceptable,450
01272,Animalia,Chordata,Aves,Passeriformes,Thamnophilidae,Cercomacra,tyrannina,Dusky antbird,16.3,13,wild,acceptable,1418
01274,Animalia,Chordata,Aves,Passeriformes,Thamnophilidae,Hylophylax,naevioides,Spotted antbird,17.8,14,wild,acceptable,1415
01275,Animalia,Chordata,Aves,Passeriformes,Thraupidae,Camarhynchus,parvulus,Small tree finch,13.2,15,wild,acceptable,1424
01276,Animalia,Chordata,Aves,Passeriformes,Thraupidae,Camarhynchus,pauper,Medium tree finch,16,12,wild,acceptable,1424
01277,Animalia,Chordata,Aves,Passeriformes,Thraupidae,Coereba,flaveola,Bananaquit,10.1,8.6,wild,acceptable,427
01278,Animalia,Chordata,Aves,Passeriformes,Thraupidae,Cyanerpes,caeruleus,Purple honeycreeper,12,17,captivity,acceptable,575
01279,Animalia,Chordata,Aves,Passeriformes,Thraupidae,Eucometis,penicillata,Gray-headed tanager,27,10,wild,acceptable,1416
01280,Animalia,Chordata,Aves,Passeriformes,Thraupidae,Geospiza,fuliginosa,Small ground finch,14.5,15,wild,acceptable,1424
01281,Animalia,Chordata,Aves,Passeriformes,Thraupidae,Loxigilla,portoricensis,Puerto rican bullfinch,32.1,15.6,wild,acceptable,0427
01282,Animalia,Chordata,Aves,Passeriformes,Thraupidae,Sporophila,torqueola,White-collared seedeater,8.7,11.7,wild,acceptable,580
01283,Animalia,Chordata,Aves,Passeriformes,Thraupidae,Thraupis,episcopus,Blue-grey tanager,35,9.5,wild,acceptable,444
01284,Animalia,Chordata,Aves,Passeriformes,Troglodytidae,Campylorhynchus,brunneicapillus,Cactus wren,38.9,7.3,wild,acceptable,427
01286,Animalia,Chordata,Aves,Passeriformes,Troglodytidae,Thryomanes,bewickii,Bewick's wren,9.8,8,wild,acceptable,577
01287,Animalia,Chordata,Aves,Passeriformes,Troglodytidae,Thryothorus,ludovicianus,Carolina wren,17.5,9.2,wild,acceptable,427
01288,Animalia,Chordata,Aves,Passeriformes,Troglodytidae,Troglodytes,aedon,House wren,9.7,9,wild,acceptable,427
01289,Animalia,Chordata,Aves,Passeriformes,Troglodytidae,Troglodytes,troglodytes,Winter wren,9.1,7,unknown,acceptable,
01290,Animalia,Chordata,Aves,Passeriformes,Turdidae,Catharus,bicknelli,Bicknell's thrush,27.5,11.9,wild,acceptable,427
01291,Animalia,Chordata,Aves,Passeriformes,Turdidae,Catharus,fuscescens,Veery,28.8,10.1,wild,acceptable,1
01292,Animalia,Chordata,Aves,Passeriformes,Turdidae,Catharus,guttatus,Hermit thrush,27.8,10.8,wild,acceptable,427
01293,Animalia,Chordata,Aves,Passeriformes,Turdidae,Catharus,minimus,Grey-cheeked thrush,24.8,7.3,wild,acceptable,578
01294,Animalia,Chordata,Aves,Passeriformes,Turdidae,Catharus,ustulatus,Swainson's thrush,27.9,11,unknown,acceptable,
01295,Animalia,Chordata,Aves,Passeriformes,Turdidae,Hylocichla,mustelina,Wood thrush,43.3,10.2,wild,acceptable,427
01296,Animalia,Chordata,Aves,Passeriformes,Turdidae,Ixoreus,naevius,Varied thrush,78.5,5.6,wild,acceptable,427
01297,Animalia,Chordata,Aves,Passeriformes,Turdidae,Sialia,currucoides,Mountain bluebird,29.6,9,wild,acceptable,427
01298,Animalia,Chordata,Aves,Passeriformes,Turdidae,Sialia,mexicana,Western bluebird,26.5,8.7,wild,acceptable,427
01299,Animalia,Chordata,Aves,Passeriformes,Turdidae,Sialia,sialis,Eastern bluebird,30.5,10.5,wild,acceptable,427
01300,Animalia,Chordata,Aves,Passeriformes,Turdidae,Turdus,grayi,Clay-colored robin,74,9.6,wild,acceptable,444
01301,Animalia,Chordata,Aves,Passeriformes,Turdidae,Turdus,iliacus,Redwing,61.2,18.8,wild,acceptable,729
01302,Animalia,Chordata,Aves,Passeriformes,Turdidae,Turdus,merula,"Common blackbird, or Eurasian blackbird",103.2,21.8,wild,acceptable,450
01303,Animalia,Chordata,Aves,Passeriformes,Turdidae,Turdus,migratorius,American robin,75.5,17,unknown,acceptable,
01304,Animalia,Chordata,Aves,Passeriformes,Turdidae,Turdus,philomelos,Song thrush,67.8,17.7,wild,acceptable,450
01305,Animalia,Chordata,Aves,Passeriformes,Turdidae,Turdus,pilaris,Fieldfare,106,18.1,wild,acceptable,450
01306,Animalia,Chordata,Aves,Passeriformes,Turdidae,Turdus,plumbeus,Red-legged thrush,75.3,14.6,wild,acceptable,0427
01307,Animalia,Chordata,Aves,Passeriformes,Turdidae,Turdus,torquatus,Ring ouzel,109,9.1,wild,acceptable,450
01308,Animalia,Chordata,Aves,Passeriformes,Turdidae,Turdus,viscivorus,Mistle thrush,117.5,21.2,wild,acceptable,450
01309,Animalia,Chordata,Aves,Passeriformes,Turdidae,Zoothera,heinei,Russet-tailed thrush,111,1,wild,acceptable,1305
01310,Animalia,Chordata,Aves,Passeriformes,Turdidae,Zoothera,lunulata,Bassian thrush,129.5,0.6,wild,acceptable,1305
01311,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Camptostoma,imberbe,Northern beardless tyrannulet,7.4,5.8,wild,acceptable,577
01312,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Contopus,cooperi,Olive-sided flycatcher,32.8,11.1,wild,acceptable,427
01313,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Contopus,sordidulus,Western wood pewee,12.8,8.1,wild,acceptable,427
01314,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Contopus,virens,Eastern wood pewee,13.9,8.2,wild,acceptable,427
01315,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Elaenia,martinica,Caribbean elaenia,20.9,13.6,wild,acceptable,0427
01316,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Empidonax,alnorum,Alder flycatcher,13.5,9.1,wild,acceptable,427
01317,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Empidonax,difficilis,Pacific-slope flycatcher,11,6.9,wild,acceptable,427
01319,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Empidonax,hammondii,Hammond's flycatcher,10.4,7,wild,acceptable,0427
01320,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Empidonax,minimus,Least flycatcher,10,8,wild,acceptable,577
01321,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Empidonax,oberholseri,Dusky flycatcher,10.95,9,wild,acceptable,579
01322,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Empidonax,traillii,Willow flycatcher,12.6,11,wild,acceptable,579
01323,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Empidonax,virescens,Acadian flycatcher,12.6,12.1,wild,acceptable,427
01324,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Myiarchus,antillarum,Puerto rican flycatcher,23.4,13.6,wild,acceptable,0427
01326,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Myiarchus,cinerascens,Ash-throated flycatcher,28.5,11.9,wild,acceptable,427
01327,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Myiarchus,crinitus,Great crested flycatcher,32.1,14.9,wild,acceptable,427
01328,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Myiarchus,tyrannulus,Brown-crested flycatcher,35,11,wild,acceptable,427
01329,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Pyrocephalus,rubinus,Vermilion flycatcher,12.87,5.5,wild,acceptable,577
01330,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Sayornis,nigricans,Black phoebe,18.25,8,wild,acceptable,577
01331,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Sayornis,phoebe,Eastern phoebe,19.7,10.3,unknown,acceptable,
01333,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Tyrannus,tyrannus,Eastern kingbird,39.9,11.1,wild,acceptable,427
01334,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Tyrannus,verticalis,Western kingbird,40.7,6.9,wild,acceptable,579
01335,Animalia,Chordata,Aves,Passeriformes,Vireonidae,Vireo,atricapilla,Black-capped vireo,8.65,12,wild,acceptable,427
01336,Animalia,Chordata,Aves,Passeriformes,Vireonidae,Vireo,bellii,Bell's vireo,10,9.1,wild,acceptable,427
01337,Animalia,Chordata,Aves,Passeriformes,Vireonidae,Vireo,flavifrons,Yellow-throated vireo,18,6.1,wild,acceptable,578
01338,Animalia,Chordata,Aves,Passeriformes,Vireonidae,Vireo,gilvus,Warbling vireo,15,13.1,wild,acceptable,578
01339,Animalia,Chordata,Aves,Passeriformes,Vireonidae,Vireo,griseus,White-eyed vireo,12,10.9,wild,acceptable,427
01340,Animalia,Chordata,Aves,Passeriformes,Vireonidae,Vireo,huttoni,Hutton's vireo,11.3,13.5,wild,acceptable,427
01341,Animalia,Chordata,Aves,Passeriformes,Vireonidae,Vireo,latimeri,Puerto rican vireo,12,16.8,wild,acceptable,0427
01342,Animalia,Chordata,Aves,Passeriformes,Vireonidae,Vireo,olivaceus,Red-eyed vireo,17,10.2,wild,acceptable,427
01343,Animalia,Chordata,Aves,Passeriformes,Vireonidae,Vireo,philadelphicus,Philadelphia vireo,12,9.8,wild,acceptable,427
01344,Animalia,Chordata,Aves,Passeriformes,Vireonidae,Vireo,solitarius,Blue-headed vireo,16,7.4,wild,acceptable,578
01346,Animalia,Chordata,Aves,Passeriformes,Zosteropidae,Zosterops,japonicus,Japanese white-eye,11.25,5.1,wild,acceptable,577
01347,Animalia,Chordata,Aves,Passeriformes,Zosteropidae,Zosterops,lateralis,Silvereye,12.7,18.7,wild,acceptable,1305
01348,Animalia,Chordata,Aves,Passeriformes,Zosteropidae,Zosterops,luteus,Canary white-eye,9.775,8.7,wild,acceptable,1305
01349,Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Ardea,alba,Great egret,873.5,22.8,wild,acceptable,576
01350,Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Ardea,cinerea,Grey heron,1443,37.5,wild,acceptable,450
01351,Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Ardea,cocoi,Cocoi heron,1937.7,24.4,captivity,acceptable,575
01352,Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Ardea,goliath,Goliath heron,4468,22.9,captivity,acceptable,575
01353,Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Ardea,herodias,Great blue heron,1870,24.5,wild,acceptable,427
01354,Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Ardea,purpurea,Purple heron,1065.5,25.4,wild,acceptable,450
01355,Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Botaurus,lentiginosus,American bittern,706,8.3,wild,acceptable,576
01356,Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Botaurus,stellaris,"Eurasian bittern, or Bittern",1324.5,11.3,wild,acceptable,450
01357,Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Bubulcus,ibis,Cattle egret,390,23,wild,acceptable,1
01358,Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Butorides,virescens,Green heron,175,11.6,wild,acceptable,576
01359,Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Egretta,caerulea,Little blue heron,339.5,13.9,wild,acceptable,576
01360,Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Egretta,garzetta,Little egret,312,22.3,wild,acceptable,450
01362,Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Egretta,rufescens,Reddish egret,614,22,wild,acceptable,972
01363,Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Egretta,sacra,Pacific reef heron,510.25,15,wild,acceptable,1305
01364,Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Egretta,thula,Snowy egret,314,22.8,wild,acceptable,577
01365,Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Egretta,tricolor,Tricolored heron,309.9,17.7,wild,acceptable,576
01366,Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Ixobrychus,minutus,Little bittern,101,7.8,wild,acceptable,0450
01368,Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Nycticorax,nycticorax,Black-crowned night heron,800,21.1,wild,acceptable,1
01369,Animalia,Chordata,Aves,Pelecaniformes,Balaenicipitidae,Balaeniceps,rex,Shoebill,5984,35.7,captivity,acceptable,575
01370,Animalia,Chordata,Aves,Pelecaniformes,Pelecanidae,Pelecanus,conspicillatus,Australian pelican,5452.5,26.1,wild,acceptable,1305
01371,Animalia,Chordata,Aves,Pelecaniformes,Pelecanidae,Pelecanus,crispus,Dalmatian pelican,9550,35.3,captivity,acceptable,575
01372,Animalia,Chordata,Aves,Pelecaniformes,Pelecanidae,Pelecanus,erythrorhynchos,American white pelican,6129,54,wild,acceptable,576
01373,Animalia,Chordata,Aves,Pelecaniformes,Pelecanidae,Pelecanus,occidentalis,Brown pelican,3115.8,43,unknown,acceptable,445
01374,Animalia,Chordata,Aves,Pelecaniformes,Pelecanidae,Pelecanus,onocrotalus,Great white pelican,9520,51,captivity,acceptable,575
01376,Animalia,Chordata,Aves,Pelecaniformes,Threskiornithidae,Bostrychia,hagedash,Hadada ibis,1238,16,captivity,acceptable,649
01378,Animalia,Chordata,Aves,Pelecaniformes,Threskiornithidae,Eudocimus,albus,White ibis,940,27.6,captivity,acceptable,649
01379,Animalia,Chordata,Aves,Pelecaniformes,Threskiornithidae,Eudocimus,ruber,Scarlet ibis,615,33.2,captivity,acceptable,649
01381,Animalia,Chordata,Aves,Pelecaniformes,Threskiornithidae,Geronticus,eremita,Northern bald ibis,1202,32.9,captivity,acceptable,649
01382,Animalia,Chordata,Aves,Pelecaniformes,Threskiornithidae,Nipponia,nippon,Crested ibis,1900,25.8,captivity,acceptable,649
01383,Animalia,Chordata,Aves,Pelecaniformes,Threskiornithidae,Phimosus,infuscatus,Whispering ibis,559,20,captivity,acceptable,649
01384,Animalia,Chordata,Aves,Pelecaniformes,Threskiornithidae,Platalea,ajaja,Roseate spoonbill,1036.97,28,unknown,acceptable,
01385,Animalia,Chordata,Aves,Pelecaniformes,Threskiornithidae,Platalea,alba,African spoonbill,1521,17.9,captivity,acceptable,649
01386,Animalia,Chordata,Aves,Pelecaniformes,Threskiornithidae,Platalea,flavipes,Yellow-billed spoonbill,1747.5,28.6,captivity,acceptable,649
01387,Animalia,Chordata,Aves,Pelecaniformes,Threskiornithidae,Platalea,leucorodia,Eurasian spoonbill,1868,30.1,captivity,acceptable,649
01388,Animalia,Chordata,Aves,Pelecaniformes,Threskiornithidae,Platalea,minor,Black-faced spoonbill,1228,15,captivity,acceptable,649
01389,Animalia,Chordata,Aves,Pelecaniformes,Threskiornithidae,Platalea,regia,Royal spoonbill,1795.25,36.2,wild,acceptable,1305
01390,Animalia,Chordata,Aves,Pelecaniformes,Threskiornithidae,Plegadis,chihi,White-faced ibis,487.5,20.4,captivity,acceptable,649
01391,Animalia,Chordata,Aves,Pelecaniformes,Threskiornithidae,Plegadis,falcinellus,Glossy ibis,431.2,26.8,captivity,high,649
01392,Animalia,Chordata,Aves,Pelecaniformes,Threskiornithidae,Plegadis,ridgwayi,Puna ibis,584,18,captivity,acceptable,649
01395,Animalia,Chordata,Aves,Pelecaniformes,Threskiornithidae,Theristicus,caudatus,Buff-necked ibis,1726,22,captivity,acceptable,649
01396,Animalia,Chordata,Aves,Pelecaniformes,Threskiornithidae,Theristicus,melanopis,Black-faced ibis,1200,34.5,captivity,acceptable,649
01397,Animalia,Chordata,Aves,Pelecaniformes,Threskiornithidae,Threskiornis,aethiopicus,Sacred ibis,1530,37,captivity,acceptable,649
01398,Animalia,Chordata,Aves,Pelecaniformes,Threskiornithidae,Threskiornis,melanocephalus,Black-headed ibis,1530,28.2,captivity,acceptable,649
01399,Animalia,Chordata,Aves,Pelecaniformes,Threskiornithidae,Threskiornis,molucca,"Australian white ibis, or Australian ibis",1806,33.2,captivity,acceptable,649
01400,Animalia,Chordata,Aves,Pelecaniformes,Threskiornithidae,Threskiornis,spinicollis,Straw-necked ibis,1351.5,39.4,captivity,acceptable,649
01401,Animalia,Chordata,Aves,Phaethontiformes,Phaethontidae,Phaethon,aethereus,Red-billed tropicbird,750,17.6,wild,acceptable,427
01402,Animalia,Chordata,Aves,Phaethontiformes,Phaethontidae,Phaethon,rubricauda,Red-tailed tropicbird,593.2,32.7,wild,acceptable,427
01403,Animalia,Chordata,Aves,Phoenicopteriformes,Phoenicopteridae,Phoeniconaias,minor,Lesser flamingo,1500,41,wild,acceptable,991
01404,Animalia,Chordata,Aves,Phoenicopteriformes,Phoenicopteridae,Phoenicopterus,chilensis,Chilean flamingo,2277,36.7,captivity,acceptable,600
01405,Animalia,Chordata,Aves,Phoenicopteriformes,Phoenicopteridae,Phoenicopterus,roseus,Greater flamingo,2500,58.8,captivity,acceptable,"Zoe Bryant, pers. comm."
01407,Animalia,Chordata,Aves,Piciformes,Picidae,Colaptes,auratus,Northern flicker,120,12.5,wild,acceptable,579
01408,Animalia,Chordata,Aves,Piciformes,Picidae,Dendrocopos,leucotos,White-backed woodpecker,117,15.9,wild,acceptable,450
01409,Animalia,Chordata,Aves,Piciformes,Picidae,Dendrocopos,major,Great spotted woodpecker,75.1,12.7,wild,acceptable,450
01410,Animalia,Chordata,Aves,Piciformes,Picidae,Dendrocopos,medius,Middle spotted woodpecker,59,9.3,wild,acceptable,0450
01411,Animalia,Chordata,Aves,Piciformes,Picidae,Dendrocopos,minor,Lesser spotted woodpecker,19.8,9.8,wild,acceptable,450
01412,Animalia,Chordata,Aves,Piciformes,Picidae,Dendrocopos,syriacus,Syrian woodpecker,76.8,10.9,wild,acceptable,0450
01413,Animalia,Chordata,Aves,Piciformes,Picidae,Dryocopus,martius,Black woodpecker,321,14,wild,acceptable,450
01414,Animalia,Chordata,Aves,Piciformes,Picidae,Dryocopus,pileatus,Pileated woodpecker,364,13,wild,acceptable,427
01415,Animalia,Chordata,Aves,Piciformes,Picidae,Jynx,torquilla,Eurasian wryneck,35,10,wild,acceptable,729
01417,Animalia,Chordata,Aves,Piciformes,Picidae,Melanerpes,carolinus,Red-bellied woodpecker,72.5,20.7,unknown,acceptable,
01418,Animalia,Chordata,Aves,Piciformes,Picidae,Melanerpes,erythrocephalus,Red-headed woodpecker,75,10,unknown,acceptable,
01419,Animalia,Chordata,Aves,Piciformes,Picidae,Melanerpes,formicivorus,Acorn woodpecker,79.7,17.2,wild,acceptable,427
01420,Animalia,Chordata,Aves,Piciformes,Picidae,Melanerpes,uropygialis,Gila woodpecker,65,11,wild,acceptable,427
